Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28
6,196,NYG,Gary Brightwell,RB,22,2024,0,0,0,1,1,39,0,0,0,0,0,41,164,1,11,92,0,3,,,Arizona,College Stats
6,197,NWE,William Sherman,OL,22,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado,College Stats
6,198,LAC,Larry Rountree,RB,22,2022,0,0,0,1,1,16,0,0,0,0,0,49,106,1,3,13,0,,,,Missouri,College Stats
6,199,MIN,Jaylen Twyman,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats
6,200,NYJ,Brandin Echols,CB,23,2024,0,0,1,10,10,57,0,0,0,0,0,0,0,0,1,18,0,92,5,,Kentucky,College Stats
6,201,NYG,Rodarius Williams,CB,24,2022,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,16,1,,Oklahoma St.,College Stats
6,202,CIN,Chris Evans,RB,23,2023,0,0,0,2,2,34,0,0,0,0,0,19,89,0,19,188,3,6,,,Michigan,College Stats
6,203,BUF,Marquez Stevenson,WR,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Houston,College Stats
6,204,CAR,Shi Smith,WR,22,2022,0,0,0,4,4,23,0,0,0,0,0,1,-3,0,28,400,2,4,,,South Carolina,College Stats
6,205,TEN,Racey McMath,WR,22,2022,0,0,0,0,0,14,0,0,0,0,0,1,4,0,4,48,0,2,,,LSU,College Stats
6,206,NOR,Landon Young,T,24,2024,0,0,0,9,9,56,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,College Stats
6,207,NYJ,Jonathan Marshall,DL,23,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,Arkansas,College Stats
6,208,SEA,Stone Forsythe,OL,23,2024,0,0,0,10,10,53,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats
6,209,JAX,Jalen Camp,WR,23,2022,0,0,0,0,,5,0,0,0,0,0,0,0,0,1,7,0,,,,Georgia Tech,College Stats
6,210,ARI,Victor Dimukeje,DE,21,2024,0,0,0,6,6,55,0,0,0,0,0,0,0,0,0,0,0,42,,4.0,Duke,College Stats
6,211,CLE,Demetric Felton,RB,23,2022,0,0,0,2,2,24,0,0,0,0,0,8,20,0,20,189,2,3,,,UCLA,College Stats
6,212,BUF,Damar Hamlin,DB,23,2024,0,0,2,11,11,48,0,0,0,0,0,0,0,0,0,0,0,129,2,1.5,Pittsburgh,College Stats
6,213,BUF,Rachad Wildgoose,CB,21,2022,0,0,0,2,,20,0,0,0,0,0,0,0,0,0,0,0,13,,,Wisconsin,College Stats
6,214,GNB,Cole Van Lanen,OL,23,2024,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
6,215,TEN,Brady Breeze,S,23,2022,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,,,Oregon,College Stats
6,216,PIT,Quincy Roche,DL,23,2022,0,0,0,2,,17,0,0,0,0,0,0,0,0,0,0,0,23,,2.5,Miami (FL),College Stats
6,217,CHI,Khalil Herbert,RB,23,2024,0,0,1,13,12,56,0,0,0,0,0,400,1905,9,53,312,2,6,,,Virginia Tech,College Stats
6,218,IND,Sam Ehlinger,QB,22,2023,0,0,0,2,2,8,64,101,573,3,3,20,96,0,0,0,0,,,,Texas,College Stats
6,219,DEN,Seth Williams,WR,21,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,34,0,,,,Auburn,College Stats
6,220,GNB,Isaiah McDuffie,LB,22,2024,0,0,1,14,14,63,0,0,0,0,0,0,0,0,0,0,0,129,,1.0,Boston Col.,College Stats
6,221,CHI,Dazz Newsome,WR,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,23,0,1,,,North Carolina,College Stats
6,222,CAR,Thomas Fletcher,LS,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
6,223,ARI,Tay Gowan,DB,23,2023,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,1,,,Central Florida,College Stats
6,224,PHI,JaCoby Stevens,S,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,College Stats
6,225,WAS,Camaron Cheeseman,LS,23,2023,0,0,0,3,3,48,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
6,226,KAN,Trey Smith,OL,22,2024,0,1,4,31,31,67,0,0,0,0,0,0,0,0,0,0,0,1,,,Tennessee,College Stats
6,227,DAL,Israel Mukuamu,DB,21,2024,0,0,0,4,4,50,0,0,0,0,0,0,0,0,0,0,0,29,3,,South Carolina,College Stats
6,228,CHI,Thomas Graham,CB,22,2024,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,,,Oregon,College Stats
7,229,IND,Mike Strachan,WR,24,2023,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,130,0,,,,Charleston (WV),
7,230,LVR,Jimmy Morrissey,OL,23,2023,0,0,0,1,,14,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats
7,231,MIA,Larnel Coleman,T,23,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Massachusetts,College Stats
7,232,CAR,Phil Hoskins,DT,24,2023,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.0,Kentucky,College Stats
7,233,LAR,Jake Funk,RB,23,2023,0,0,0,0,0,20,0,0,0,0,0,4,15,0,1,12,0,1,,,Maryland,College Stats
